feature,coefficient,direction,odds_ratio,absolute_coefficient
binary__conflicting_project_information,0.8024216081788677,higher_predicted_risk,2.230936847371065,0.8024216081788677
binary__critical_field_missing,0.6749125611290474,higher_predicted_risk,1.9638612506517583,0.6749125611290474
binary__multiple_candidate_records,0.6439512926781611,higher_predicted_risk,1.9039892544426347,0.6439512926781611
categorical__public_private_public,-0.35171006446694614,lower_predicted_risk,0.7034840574360318,0.35171006446694614
numeric__prior_escalation_rate,0.34984534721666183,higher_predicted_risk,1.41884810281651,0.34984534721666183
categorical__public_private_private,-0.3200084232631471,lower_predicted_risk,0.7261429205550283,0.3200084232631471
numeric__payment_chain_completeness_score,-0.2696634324942036,lower_predicted_risk,0.7636364663110207,0.2696634324942036
categorical__hiring_party_type_general_contractor,-0.26945926628564826,lower_predicted_risk,0.7637923909897957,0.26945926628564826
numeric__deadline_days_remaining,-0.2385633228078546,lower_predicted_risk,0.787758803578384,0.2385633228078546
categorical__hiring_party_type_subcontractor,-0.23163385435739647,lower_predicted_risk,0.7932365102332615,0.23163385435739647
categorical__customer_role_subcontractor,-0.20441450429990699,lower_predicted_risk,0.8151244285721954,0.20441450429990699
categorical__customer_role_equipment_supplier,-0.19446334686507635,lower_predicted_risk,0.8232763533627729,0.19446334686507635
categorical__project_type_mixed_use,-0.18151350249908563,lower_predicted_risk,0.8340069840489127,0.18151350249908563
categorical__state_AZ,-0.17138482566217544,lower_predicted_risk,0.8424972965005648,0.17138482566217544
categorical__customer_role_general_contractor,-0.17062536708705306,lower_predicted_risk,0.8431373813250985,0.17062536708705306
categorical__hiring_party_type_owner,-0.17062536708705306,lower_predicted_risk,0.8431373813250985,0.17062536708705306
categorical__project_type_other,-0.1629150473423932,lower_predicted_risk,0.8496633665097425,0.1629150473423932
categorical__state_CA,-0.15419009498558012,lower_predicted_risk,0.8571090733872389,0.15419009498558012
categorical__customer_role_sub_subcontractor,0.14951936320754247,higher_predicted_risk,1.1612759566216602,0.14951936320754247
numeric__research_confidence_score,-0.13585555715879488,lower_predicted_risk,0.8729687174642977,0.13585555715879488
categorical__state_TX,-0.13446913234896463,lower_predicted_risk,0.8741798623390448,0.13446913234896463
categorical__project_type_industrial,-0.1292807739702433,lower_predicted_risk,0.8787272071788207,0.1292807739702433
categorical__customer_role_labor_provider,-0.12740336766788052,lower_predicted_risk,0.8803784847500803,0.12740336766788052
categorical__customer_role_material_supplier,-0.12433126501773281,lower_predicted_risk,0.8830872565082556,0.12433126501773281
categorical__project_type_infrastructure,-0.09613677294907622,lower_predicted_risk,0.9083397712629567,0.09613677294907622
categorical__state_GA,-0.09403407356294896,lower_predicted_risk,0.910251746192183,0.09403407356294896
categorical__state_OTHER,-0.07148919266685105,lower_predicted_risk,0.9310063392361638,0.07148919266685105
categorical__project_type_commercial,-0.07076138690509208,lower_predicted_risk,0.9316841776515252,0.07076138690509208
categorical__state_FL,-0.051443348784963816,lower_predicted_risk,0.9498574590171754,0.051443348784963816
numeric__expected_party_count,0.0335391751204853,higher_predicted_risk,1.0341079542364733,0.0335391751204853
categorical__project_type_residential,-0.031111004064217396,lower_predicted_risk,0.9693679633199257,0.031111004064217396
numeric__prior_projects_with_hiring_party,-0.022731324099043215,lower_predicted_risk,0.9775250859274317,0.022731324099043215
categorical__state_NC,0.0052921802813746975,higher_predicted_risk,1.0053062086033253,0.0052921802813746975
